"","rep","code","our_beta0","our_beta1","our_beta2","cc_beta0","cc_beta1","cc_beta2","naive_beta0","naive_beta1","naive_beta2","gs_beta0","gs_beta1","gs_beta2","eta0","eta1","eta2","n"
"4457",4457,0,2.00050431182553,2.99965586764619,3.99995337512081,2.00051912423334,2.99967007756877,3.9999500610721,4.18025441070826,0.685888333766303,4.03243420141091,2.00019696613041,2.99996660967796,3.99995456158093,-2.30560678882172,4.54495276679086,0.487752152725607,10000
"4458",4458,0,2.00216076400644,2.99807219188134,3.99993568078318,2.00216076400644,2.99807219188134,3.99993568078318,3.64424387780511,1.24919470421811,4.02746449794402,2.00192673457562,2.99825909310607,3.99995019584717,-2.09492774752673,4.26318210292938,0.457004728020306,10000
"4459",4459,0,2.00165839191224,2.99845168384621,3.99997281350395,2.00165309786022,2.99844535956774,3.99997530137861,3.24608662496112,1.69645849195133,4.01595591328175,2.0011802004964,2.99894681206934,3.99996770447462,-2.22641673992353,4.45843960946824,0.527066988374833,10000
"4460",4460,0,2.00096303238027,2.99921991065073,3.99994387663092,2.00096707075395,2.99922393515383,3.99995107130917,3.36216659224328,1.57977861546211,4.01539674599102,2.00066492950379,2.99938765810122,3.99998568271933,-2.18850839006951,4.33835679414448,0.481257223269325,10000
"4461",4461,0,1.99888196805821,3.00082840163308,4.00010107786111,1.99888196805821,3.00082840163308,4.00010107786111,3.0165831040274,1.83668180769382,4.0409210850135,1.99917672835321,3.00054795767742,4.00009693677178,-2.18955921061943,4.37838250186811,0.440956274295614,10000
"4462",4462,0,1.99830212981768,3.00188296213916,3.9999383069204,1.99830174103481,3.00188274329868,3.99993452953648,2.42391253554052,2.49529334005523,4.02494008829905,1.99990633571869,3.00029287956091,3.99993184002158,-2.41907652846485,4.59372759996877,0.414333240853326,10000
"4463",4463,0,2.00056853622502,2.99932288014243,4.0000294590745,2.00055964843518,2.9993131365482,4.00004488967396,3.90819227200598,0.976590583062448,4.03208399828109,1.99961940138619,3.00036237991554,4.00000826829731,-2.13444035835855,4.35430084052065,0.455929715882513,10000
"4464",4464,0,2.00046133168851,2.99941904996717,4.00004097699922,2.00044524111293,2.99940240876735,4.0000458635684,2.68087105971857,2.27101254497769,4.01521087518351,1.99988825279396,2.99998818778684,4.00004063520883,-2.31965510725442,4.63002022479306,0.477023593177951,10000
"4465",4465,0,1.99730098854217,3.00236149831556,4.00009264446223,1.99729985673125,3.00236041507804,4.00008909114725,3.42338733699814,1.49087233742282,4.02421721275084,1.99805827916306,3.00165258429103,4.00007549777904,-2.21979077083273,4.38333772924019,0.464307262931674,10000
"4466",4466,0,1.99910087110187,3.00054904510625,4.0001116260955,1.99911913981595,3.00056718348781,4.00011347763835,2.91238199176112,2.00517687350741,4.02272068024639,1.99907150610715,3.0008289281468,4.00003718506638,-2.08099456015062,4.35148176394404,0.59468758768265,10000
"4467",4467,0,2.00066910185345,2.9995039158045,3.99994923664487,2.00066910185345,2.9995039158045,3.99994923664487,3.92712773123687,0.877969643557891,4.03517030796862,2.0005071274413,2.99947121043982,4.00001780773571,-2.33491250598662,4.6207835884212,0.424365280517924,10000
"4468",4468,0,2.00020455415864,2.99986559833101,3.99997476998366,2.00020140569176,2.99986237762805,3.99997049399945,3.61377898355744,1.33131512212117,3.99866578702097,2.00018938096134,2.99990088368423,3.99996646569129,-2.19988305080414,4.31118549581326,0.441316308631279,10000
"4469",4469,0,2.00031508904313,2.99974938639427,3.99998328649176,2.00029946233088,2.99973336544946,3.99998269806637,3.27276903729394,1.63876924793765,4.02378054005645,2.00003911586513,3.00005988584726,3.99996978512854,-2.09623577984776,4.23879456283241,0.522834722623783,10000
"4470",4470,0,1.99945731408238,3.00046198577767,4.00001705464369,1.99974684632411,3.00045565199902,3.9999213893569,3.68185954977107,1.21051310405273,4.03103749903848,1.99956594662982,3.00045620015382,3.99998226969543,-2.03554538452106,4.21833320717024,0.544458630747059,10000
"4471",4471,0,2.00106140489221,2.99871065561488,4.00007482152892,2.00106482878152,2.99871320196401,4.00007979098565,3.81066949088318,1.10860318459454,4.01857425466362,2.00031359591619,2.99951173171296,4.00005999857497,-2.07681766264173,4.24084364211458,0.639904851048135,10000
"4472",4472,0,2.00132923733195,2.99855955941007,4.00003053153031,2.00132923733195,2.99855955941007,4.00003053153031,3.21883193275922,1.65775637299772,4.03722941520833,2.00152799554025,2.99837312556008,4.00002706248184,-2.2406292072411,4.46411105165973,0.39930717708689,10000
"4473",4473,0,1.99992601632866,3.00000654700345,4.00002637572972,1.99992601632866,3.00000654700345,4.00002637572972,2.6747530446617,2.23760943708521,4.02342790400943,1.99991759511827,3.00006432175988,4.0000110128613,-2.2487294329718,4.56917713308927,0.442406834375355,10000
"4474",4474,0,1.999086423615,3.00100611703586,3.99997648486113,1.99908412128585,3.00100381287178,3.99997082462485,3.70650547457805,1.23711522513846,4.0152819097997,1.9990736408511,3.0010643889904,3.99995954489569,-2.29874746899695,4.63611111269147,0.492011795762252,10000
"4475",4475,0,2.00154925639899,2.99852542129239,3.99998798672057,2.000537134591,2.99978820080586,3.99990917533318,3.62700383560642,1.29234193058196,4.02654343411044,2.00117560030184,2.99897392959277,3.99996533879207,-2.36064328159957,4.55272899029088,0.460502269395425,10000
"4476",4476,0,1.99994359983971,2.99986877595004,4.00005206597586,1.9999439562479,2.99986918532,4.0000558991638,3.08584986324227,1.78888670869433,4.02779210702875,2.0001857182554,2.99968052530368,4.00003786729096,-2.41893359169486,4.69373568945725,0.428308516106998,10000
"4477",4477,0,2.00186292631923,2.99815690461436,4.00000152205725,2.00186206460242,2.99815597393123,4.00000001885026,3.02760093244448,1.8379292347869,4.04062312886877,2.00177090216713,2.99824071536085,4.00000361218523,-2.17526270351457,4.34126376862661,0.495915129576635,10000
"4478",4478,0,1.99911616876651,3.00078446188946,4.00003257128304,1.99911699415867,3.00078530245333,4.00003551178832,3.33031621759201,1.58751467009449,4.02300287695341,1.99935392355015,3.00048618189487,4.0000526641825,-2.27778515580925,4.43604189999799,0.517117578867691,10000
