"","rep","code","our_beta0","our_beta1","our_beta2","cc_beta0","cc_beta1","cc_beta2","naive_beta0","naive_beta1","naive_beta2","gs_beta0","gs_beta1","gs_beta2","eta0","eta1","eta2","n","q"
"3684",3684,0,2.00949645029813,2.99011880251983,4.00013649581156,2.01334700297843,2.98671607891571,3.9999578139804,4.37937730040183,0.578263973813887,4.01544445504565,2.01052045461989,2.98926828082212,4.00006542899999,-1.95440592588228,4.08120544764367,0.570948579290279,1000,0.75
"3685",3685,0,2.00451779200276,2.99589344571543,3.99973486900062,2.00531344864608,2.99533154745952,3.99969020960997,2.32288671069588,2.5826793461625,4.03596805652296,2.00487338929736,2.99558756800717,3.99973501666228,-2.2227789801206,4.33528883652331,0.533350545973096,1000,0.75
"3686",3686,0,2.02584624872375,2.97481602906137,3.99979408646674,2.02584624872375,2.97481602906137,3.99979408646674,2.3814711963945,2.6133928404191,4.00145392773173,2.00343498858011,2.99713524332703,3.99982599860137,-1.94744349687383,4.44032942768484,0.549716777992977,1000,0.75
"3687",3687,0,1.99587242216462,3.00428861272975,3.99994376878046,2.0000242290709,3.00075793216534,3.99974654890788,4.03222933254597,0.836517993390196,4.04412753799152,1.99771075236844,3.00267622124074,3.99987411501831,-1.98555322328903,4.1100761763851,0.599663344285994,1000,0.75
"3688",3688,0,2.00796595816005,2.99174091455179,4.00011617790168,2.00796312705407,2.99173813476105,4.00010864708489,3.58613067718541,1.38285160730605,4.00881216447645,2.00963526042071,2.99049473337494,3.99998809713521,-1.95168991841802,4.13200193897127,0.718540034817462,1000,0.75
"3689",3689,0,2.00291603706215,2.9982569659252,3.99958933750095,2.00020180945583,3.00129326962949,3.9994633967937,2.29327633631957,2.69196003096513,4.00514467117877,2.00164445882082,2.99964083238638,3.99954362757229,-2.15757632368908,4.40321130038184,0.851150221282776,1000,0.75
"3690",3690,0,1.99960056646239,3.00085023871988,3.99991878425323,2.00426192462651,2.99501051284418,4.00028189875081,2.88319708087674,1.98847466694836,4.04571158417313,2.00148509983711,2.99856418618136,4.00003533108235,-2.33845056802305,4.41682597767941,0.602165427393502,1000,0.75
"3691",3691,0,1.99910715575944,3.00065079402309,4.00010517992158,2.000880631934,2.99846306215567,4.00024204239493,2.07252635851788,2.72882180210238,4.06819854482797,1.99969002239452,2.99988337688833,4.00016697341859,-2.70856962512379,5.01553100564397,0.206629263095636,1000,0.75
"3692",3692,0,2.00016410374929,2.99997073748894,4.00005242476014,1.99436083525038,3.00578181565995,4.00004605900526,4.76106928696743,0.127949095776427,4.03917953190687,1.99793155494094,3.00219044247267,4.00005578674797,-2.2804735953391,4.75498620652829,0.366710583822632,1000,0.75
"3693",3693,0,1.99780534546212,3.00303814367653,3.99975225643278,1.99829841277251,3.00282559671311,3.99966795239692,2.03723669793719,2.76810683722652,4.06151029653307,1.99800899668399,3.00292333068593,3.99972870986429,-2.1832358272272,4.12961441287473,0.511427076065228,1000,0.75
"3694",3694,0,2.0008983638835,2.99953671805535,3.9998245687161,1.99959573869841,3.00018083332015,4.00008903610436,3.1267850539089,1.79799649267568,4.02482410874965,2.00040223371507,2.99991377889535,3.99987183470885,-2.57108636968378,4.80239572231038,0.41201793063629,1000,0.75
"3695",3695,0,2.01345082663272,2.98642393643445,4.00001333163985,2.01345079768798,2.98642390786675,4.00001448480228,4.71735400032609,0.256064878307191,4.00687815253903,2.01344273786081,2.98632550812265,4.00004176779012,-1.97951513922352,4.26680317160404,0.522585898858702,1000,0.75
"3696",3696,0,2.00377928691844,2.99617281814125,4.00000094928296,2.00377906436287,2.99617259309118,3.99999972219969,2.95156783398728,1.96495042957501,4.02147313952957,2.00359260677362,2.99646562382247,3.99997261099893,-2.26296199329172,4.23047980929858,0.406314690016042,1000,0.75
"3697",3697,0,2.00358779751337,2.99667046387829,3.99993485096434,2.00608301092623,2.99414690575067,3.99993157585369,4.70157468022025,0.137328484784195,4.05019861500271,2.00378347519001,2.9963955152469,3.99995895574886,-2.44684283131301,4.72965995462671,0.357542075692695,1000,0.75
"3698",3698,0,2.00191915130284,2.99690470063671,4.00041606333226,2.00259954080038,2.99641707812127,4.00032785181945,2.62177726502198,2.2040337441069,4.03836547858723,2.0021902049883,2.99666848806158,4.00039861999151,-2.37570752013145,4.40546359195866,0.468392676924524,1000,0.75
"3699",3699,0,1.99407689826065,3.00668726243844,3.99974227965387,1.99247390207431,3.00771455920264,3.99993183136373,3.23155920792338,1.72010346060184,4.01525809418516,1.99351206206072,3.00700737783441,3.99982398932624,-2.12174067752624,4.38829936330139,0.412406787069217,1000,0.75
"3700",3700,0,1.99607972152254,3.00417243537537,3.99988567965456,1.9982763496319,3.00076963690837,4.00038321803014,3.65705384199033,1.24148771218547,4.0384611189001,1.99661209028353,3.00321584202253,4.00005794653663,-2.3434290458363,4.61548380588591,0.450848840380657,1000,0.75
"3701",3701,0,1.99748738163621,3.00312162260233,3.99980714569494,1.99748765280603,3.00312191023188,3.99980751199308,2.76100851312755,2.22543990291671,4.00381074831979,2.00018897310118,3.00035293239675,3.9998265887689,-2.22945194394219,4.46202133428426,0.496648793852747,1000,0.75
"3702",3702,0,1.99893091522448,3.00098548839707,4.00002761716576,1.9989764946466,3.00103007320917,4.000001986441,2.89587218135286,1.91143099918342,4.05099561056567,1.99887158762818,3.00107546457113,4.00001848232105,-2.14202964082562,4.25876378134636,0.445373322795022,1000,0.75
"3703",3703,0,2.00582738009622,2.99343070949082,4.00046529536816,2.00229605491383,2.99492921794915,4.00132398329913,4.02149309402539,0.798036090689186,4.07669994944255,2.00469097897415,2.99378497387884,4.0007945976373,-2.15232329530988,4.40045941821326,0.129659056893596,1000,0.75
"3704",3704,0,1.99815876969443,3.00135696640507,4.000137450932,2.00524158733579,2.99454603474932,4.00004849733364,3.20524000159003,1.74208250661332,4.01720528238901,2.00073261060705,2.99888759646016,4.00010330596938,-2.43737850964196,4.81038452232548,0.406630972492157,1000,0.75
"3705",3705,0,1.99796425860518,3.00232800180995,3.99995308863306,2.00784439951267,2.99244293031005,3.99998240618474,4.78774952513907,0.14715369492943,4.02584065489731,2.0007523920123,2.99951470545724,3.99997370074163,-2.1600538211937,4.1018019777713,0.883465885730177,1000,0.75
"3706",3706,0,1.9996451015446,3.00015180679836,4.0000681777055,1.99964578879411,3.00015233005562,4.00007060985346,2.35170834001766,2.50021555839015,4.04171688638391,1.99516380321776,3.00451925403535,4.00010295593317,-2.47156277197504,4.70356309220673,0.336775182609499,1000,0.75
"3707",3707,0,2.00371691710265,2.99584331176853,4.00017809620201,1.99638406462873,3.00310308074367,4.00022033612821,2.79102057185584,2.09602300153698,4.03887674745233,2.00174413081402,2.99775311110807,4.00020806403175,-1.92548838531033,4.07979012757364,0.496612561714984,1000,0.75
"3708",3708,0,2.00134811060714,2.99904623094111,3.99984071270998,1.9997854524409,3.00029629600735,4.00007418345707,3.81199754829516,1.07359482198888,4.03861299728025,2.0007857002019,2.99948873900162,3.99992388877595,-2.14749344358891,4.31923478416136,0.436796509687957,1000,0.75
"3709",3709,0,2.00492266443766,2.99620994469104,3.99956358411992,2.01378374694668,2.98652312285241,3.9998383575278,4.64384144467638,0.251311145171874,4.03752490036187,2.00629108564988,2.99451336737308,3.99967386676941,-1.97489055302823,4.34043897511149,0.706056157234211,1000,0.75
"3710",3710,0,2.00573897693799,2.99437557115116,4.00004078262238,2.00756657674775,2.991802664177,4.00046788856507,1.96717092696655,2.93959216003697,4.03363910779207,2.00687046016912,2.99325134032901,4.00004592719921,-2.97021649661734,5.10543536223013,0.421811665788719,1000,0.75
"3711",3711,0,1.99058614090377,3.00904174112972,4.00019288939366,1.98901156762744,3.01021395912289,4.00033759244533,3.31238242304767,1.62119191541802,4.02594885761899,1.98994651166984,3.00951406674351,4.00025414773407,-1.85391284446691,3.73757579974429,0.631476571579876,1000,0.75
"3712",3712,0,1.99790891552945,3.00236712618857,3.99989823396652,1.99839158729916,3.00171556893665,3.9999646647145,1.9697896123014,2.966228469605,4.02186306471047,1.99813457651521,3.0020511039132,3.99993405631957,-2.55284735682789,4.88217455136245,0.407472538435609,1000,0.75
"3713",3713,0,1.99290910123118,3.00795975351845,3.9996798542939,1.99300812967416,3.00819596883712,3.9995310372578,2.19025582139492,2.74098520060912,4.02863786097059,1.99294162114633,3.00802670037969,3.99963656023614,-2.35072202730234,4.62249641411066,0.361051084441655,1000,0.75
"3714",3714,0,1.99760801393348,3.00386352259294,3.99946404071408,2.01616948394096,2.98547641154667,3.9993756896068,2.60489085751965,2.35548706855034,4.0133696960883,2.00165764857218,2.99977349475806,3.99947736804641,-2.76055547761676,5.27780233868906,0.265715322569341,1000,0.75
"3715",3715,0,2.00020584790618,2.99965843241596,4.00006161268422,1.99720913898807,3.00273649832025,4.00003186494257,2.53775647251955,2.29988589178909,4.05651698898894,1.99886286049254,3.00101983015155,4.0000549010587,-2.24952998130952,4.24371330754062,0.459143464063556,1000,0.75
"3716",3716,0,1.99813990409259,3.00199072377444,3.99994852028089,1.99696263030125,3.00241481657584,4.00038383210036,4.81936867593949,1.19402792144732,3.45116839834601,1.99818778461517,3.00195375207319,3.99995562692478,-2.01665279044026,3.95685088295871,0.381518267613498,1000,0.75
"3717",3717,0,1.99636886427032,3.00392515171677,3.9998823075356,1.98694335408953,3.01421341780237,3.99959047110766,2.44472314565579,2.50215281853248,4.01878461623746,1.994594031247,3.00598919635134,3.99978541131944,-2.40129495150635,4.71291908173652,0.389738668217483,1000,0.75
"3718",3718,0,1.99831468539661,3.00229350466688,3.99979934914094,2.00445134915308,2.99629999301983,3.9998187301862,2.27488897163066,2.55704426722423,4.05749594290151,1.99962214122966,3.00101412921085,3.99981122208597,-2.00812413455136,4.25783286286867,0.411115398524571,1000,0.75
"3719",3719,0,2.00209931525081,2.99735005359826,4.00033158372923,2.0017065885079,2.99826813269014,4.00008696362637,2.45309078592853,2.42155928100416,4.04479148503443,2.0018584125186,2.9977962108551,4.00023302372808,-2.43541158852012,4.58500704577099,0.414710745749393,1000,0.75
