"","rep","our_beta0","our_beta1","cc_beta0","cc_beta1","naive_beta0","naive_beta1","gs_beta0","gs_beta1","q","n","b0","our_beta0_se","our_beta1_se","cc_beta0_se","cc_beta1_se","naive_beta0_se","naive_beta1_se","gs_beta0_se","gs_beta1_se"
"11",11,-3.43643676875943,0.653313256154431,-3.56246552925238,0.703444301240469,-3.33220451017433,0.462241623909517,-3.3063632789906,0.410953727064636,0.75,390,-2.99573227355399,0.393420421257079,0.491005778501389,0.499999141757142,0.600924444154156,0.377964223458379,0.483493533129087,0.377964246818704,0.483493548794287
"12",12,-2.80514797318273,-0.347908915722781,-2.79575578152128,-0.0759238433626817,-2.78388827749368,-0.270112904184155,-2.80060175846742,-0.239147400503226,0.75,390,-2.99573227355399,0.274498731575468,0.420861361338127,0.353553344014454,0.485912588165991,0.301511305864339,0.436931363558855,0.301511304431237,0.436931364973908
"13",13,-2.78265579231911,0.103585140762228,-2.94443897916637,0.279739218937794,-2.85437815524821,0.200130660138999,-2.83321334405617,0.159064694629667,0.75,390,-2.99573227355399,0.279241052547811,0.390313272658085,0.377964401893154,0.483493703807492,0.301511299213212,0.402911430481763,0.301511301385314,0.40291143144271
"14",14,-2.96894347086056,-0.0185500152238415,-2.8653704556907,-0.21806739828224,-2.90540963526065,-0.139112802462652,-2.92511470633997,-0.0980165414020235,0.75,390,-2.99573227355399,0.281626350265019,0.428589724927246,0.333333281860235,0.527046155838483,0.301511293240361,0.449466479116327,0.30151129061615,0.449466481054504
"15",15,-2.98593623220942,0.312182465361026,-3.50405476709832,0.85787996971422,-2.88530845593956,0.0205135398330974,-3.21887582486782,0.61090908232261,0.75,390,-2.99573227355399,0.287763226044877,0.40170399422375,0.499999334827386,0.591607399618116,0.301511295726731,0.426401365291083,0.3535532366171,0.443202492674054
"16",16,-2.69527897358684,0.10205688576852,-2.50395484475866,-0.247580468283265,-2.6692103677858,0.0718257345711259,-2.62466859216304,-0.0198682032168225,0.75,390,-2.99573227355399,0.251982058774966,0.383326531714252,0.277350059289113,0.433629034831349,0.267261169841356,0.377964405114101,0.258198827607216,0.378932311252459
"17",17,-2.89346405716538,-0.488338036803968,-2.68557734525013,-0.372458811639883,-2.62800749342866,-0.927340568055224,-2.82246055227992,-0.421107885178205,0.75,390,-2.99573227355399,0.283391892812402,0.457843298797553,0.333333298270644,0.503952534181347,0.277350071884491,0.493547540362699,0.301511302428135,0.464660033443825
"18",18,-2.71120893275221,-1.85019957091976,-2.99573227355399,-1.84054963339698,-2.80568867066609,-1.6659500843175,-2.89958841300103,-1.14929377452827,0.75,390,-2.99573227355399,0.235988942844181,0.856345301263405,0.353553390593257,1.06065969777877,0.277350060766742,0.759463324373446,0.288675086150637,0.645488139685799
"19",19,-2.82376309461098,-0.368970256017657,-2.84053938414825,-0.4987825937949,-2.84385174226123,-0.380011624117618,-2.92852352386048,-0.187457877844902,0.75,390,-2.99573227355399,0.272924607801841,0.430785441315583,0.353553339085584,0.570087442537402,0.301511300313939,0.464660040695499,0.316227708924336,0.459468177709239
"20",20,-3.1873675656706,0.0140296578979721,-3.583518938449,0.33185329075829,-3.33729357968177,0.154044932457016,-3.18324864722475,-0.154044932457016,0.75,390,-2.99573227355399,0.33344725818646,0.478396216965668,0.499999057473888,0.645496367965623,0.377964218522506,0.517548890607486,0.353553254384273,0.517548890607486
"21",21,-2.64613175165169,-0.918129904709677,-2.82005525947855,-0.547240570506774,-2.69254601456618,-0.803961546896982,-2.72835546726288,-0.732158491553246,0.75,390,-2.99573227355399,0.244997215931003,0.472987193792856,0.333333241882402,0.557773024982949,0.277350048119342,0.493547653757489,0.277350045224298,0.493547713619977
"22",22,-3.39851083659216,0.806164713926191,-3.24259235148507,0.96532506647533,-3.18841661738319,0.682890680392482,-3.27444567602245,0.784649040940283,0.75,390,-2.99573227355399,0.368038589027332,0.449755005042623,0.447213383702692,0.512347341702909,0.353553251974683,0.433012570578674,0.377964272126195,0.449088528390908
"23",23,-3.32968353774249,0.724356789760376,-3.34638914516299,0.645027932211597,-3.05504885071001,0.246650675773625,-3.31158522297025,0.662375521891025,0.75,390,-2.99573227355399,0.362706073490252,0.450496290990435,0.447212949493607,0.547722010245099,0.333333184736586,0.440958396512705,0.377964074864383,0.462909699686181
"24",24,-3.0272608323466,-0.107193117903146,-3.28964489575578,-0.27988780071932,-3.13065159145315,-0.138374017099978,-3.14988295338101,-0.0971637484534221,0.75,390,-2.99573227355399,0.300799283892733,0.475865648853709,0.408248060960004,0.645496393259281,0.333333225381133,0.503952411573245,0.333333218424763,0.503952418265999
"25",25,-3.01501579208551,-0.231719037116383,-3.07797037179081,-0.120702745759539,-2.85437815524821,-0.647167200244759,-2.95491027903366,-0.38744660260462,0.75,390,-2.99573227355399,0.308715433325044,0.46155616236628,0.377964369216446,0.556348448106628,0.301511299213212,0.507518759775151,0.31622770485157,0.492805142017534
"26",26,-3.22456983978328,0.756059193872353,-3.12822145659986,0.542510107689957,-3.16758253048038,0.641853886172161,-3.14630513203313,0.600773860428733,0.75,390,-2.99573227355399,0.336759184203712,0.416779455721932,0.408248159278046,0.507519082713784,0.353553261368532,0.43301257777596,0.353553270132977,0.433012584446195
"27",27,-3.14901267881533,0.0934733294255116,-3.01430865912682,-0.89102535800154,-3.08597915140161,-0.230800888447186,-3.11598140170538,-0.169217066093284,0.75,390,-2.99573227355399,0.319363658929838,0.472122170765601,0.353553310092288,0.676998908792138,0.333333239526601,0.503952392174402,0.333333230320522,0.503952405789269
"28",28,-2.70262410116881,0.00141184654836273,-2.41865726424677,-0.0522631435663534,-2.57515352763574,-0.0484793316537571,-2.55980795796108,-0.0792493716540434,0.75,390,-2.99573227355399,0.247500962395166,0.364631421418095,0.27735006288498,0.400320305015226,0.258198853115689,0.371611601760052,0.258198853855894,0.371611601444889
"29",29,-3.17644834086374,-0.137123590590311,-3.51898041731451,0.408644761021703,-3.28519846779866,0.0514340304371315,-3.25809653802098,-1.20744003182222e-15,0.75,390,-2.99573227355399,0.330077691966648,0.485134356692726,0.499999290591562,0.626782535424913,0.377964264005048,0.517548906024889,0.377964283745914,0.5175489103473
"30",30,-3.16761204882594,0.70795469324863,-2.76631910922608,-0.117083979353775,-2.93482352046681,0.290286725086985,-2.92511470633986,0.269708238723129,0.75,390,-2.99573227355399,0.315942519864385,0.397653579998205,0.316227691799162,0.474341511986389,0.301511252666287,0.409673146023013,0.301511254547293,0.409673146911834
"31",31,-2.94839645744459,0.291466351995919,-2.70061522261467,0.352419618368594,-2.74084002392517,0.130770231183212,-2.93916192206553,0.469070358062696,0.75,390,-2.99573227355399,0.285627519183839,0.381936352628189,0.333333297239362,0.421636975752481,0.288675100727974,0.387298283756911,0.316227707331246,0.398526634686941
"32",32,-2.67751685611266,0.280811416068543,-3.0376964726529,-0.147277800539315,-2.79320800944248,0.164407179994463,-2.64920970107926,-0.123379021160433,0.75,390,-2.99573227355399,0.272274530455899,0.389443485661083,0.377964380957623,0.556348461638363,0.288675096774094,0.393397839783139,0.267261215649017,0.393397833115684
"33",33,-2.9423145019695,0.464678751055082,-2.66469976022852,0.0546299674865888,-2.79163691721039,0.248910696533599,-2.83810332935029,0.325797705374212,0.75,390,-2.99573227355399,0.282801479759177,0.371217340523463,0.301511287270654,0.436931366127036,0.277350039226076,0.385164374735807,0.288675065215383,0.387298260394366
