"","rep","our_beta0","our_beta1","cc_beta0","cc_beta1","naive_beta0","naive_beta1","gs_beta0","gs_beta1","n","q","our_beta0_se","our_beta1_se","cc_beta0_se","cc_beta1_se","naive_beta0_se","naive_beta1_se","gs_beta0_se","gs_beta1_se"
"11",11,-2.03947939319835,-0.608612034895171,-1.70474809223841,-0.546543706367682,-1.94591014905527,-0.376477571234757,-1.87180217690157,-0.61310447288597,100,0.75,0.355850535939669,0.618144101116892,0.353553362791449,0.612372237191684,0.377964419529681,0.585539902846481,0.353553352909127,0.612372217854969
"12",12,-2.32097569033058,0.182137166827227,-2.07944154167983,0.207639364778242,-2.17475172148416,0.095310179804324,-2.03688192726104,-0.160342650075177,100,0.75,0.423065175569671,0.573144272633183,0.499999980095381,0.645497202145984,0.447213574677448,0.585540018153205,0.408248275390187,0.577350244609778
"13",13,-2.09347530404699,-0.255384034590924,-2.70805020110219,0.467340511826233,-2.1041341542702,-0.363965377201405,-2.27726728500975,-0.0418471099354994,100,0.75,0.449349267891018,0.619439631462103,0.707106703499471,0.836659948555219,0.447213576932938,0.632455495967814,0.499999972772246,0.645497188313386
"14",14,-2.13111616184681,0.523387130745711,-2.8033603809065,0.755667537541246,-2.30258509299404,0.587786664902123,-2.48490664978799,0.836248024200613,100,0.75,0.379194054850878,0.478664874776669,0.70710668646114,0.866025315572993,0.447213570210295,0.557773317107195,0.499999962768707,0.591607938184751
"15",15,-2.09057817447346,0.182732350094455,-1.79175946922805,-0.255933374137199,-2.09714111877923,0.281851152140985,-2.07944154167983,0.241162056816887,100,0.75,0.336430200461921,0.508974181590583,0.377964464834574,0.626783150581551,0.377964457501039,0.534522466716223,0.377964457962749,0.53452246668142
"16",16,-2.01539707208292,-0.789548113016628,-2.17475172148416,-0.364222149574107,-2.14006616349627,-0.365459773494458,-2.07944154167983,-0.606135803570296,100,0.75,0.337634759862182,0.674501122159725,0.447213574677448,0.730296693523715,0.408248272479976,0.645497183198075,0.377964457962749,0.690065500290395
"17",17,-2.75228179737429,0.5104785442144,-2.19722457733621,-0.230523658611828,-2.32238772029022,-0.183138216700505,-2.58399755243222,0.343287863156263,100,0.75,0.499625302946419,0.647731915221222,0.499999975887862,0.76376257028675,0.447213569455311,0.670820347215799,0.49999995621954,0.670820345250557
"18",18,-2.75454539498264,0.44955815921245,-2.22462355152394,0.327503566638117,-2.67414864942596,0.728238500370714,-2.60268968544387,0.565807758182905,100,0.75,0.50187207846113,0.651544005069737,0.499999778289653,0.645497008998738,0.499999734303497,0.645496972399621,0.499999746166421,0.645496977263513
"19",19,-2.78611024958986,0.452748834693125,-2.77258872223975,0.43721380642272,-3.17805383034766,1.01856958099429,-2.81341071676,0.510825623765959,100,0.75,0.522274105667708,0.668992751096228,0.707106692562096,0.912870838847778,0.7071065135054,0.816496339832063,0.577350190102591,0.730296665329739
"20",20,-2.04325179579948,-1.01277805553727,-2.25129179860649,-0.2336148511815,-2.14006616349627,-0.653141845946216,-2.28238238567652,-0.263148885927901,100,0.75,0.355359483338061,0.679962275948336,0.499999973812949,0.763762566184387,0.408248272479976,0.707106709042571,0.447213570959964,0.670820346298195
"21",21,-2.73858579195577,0.446643040423251,-2.89037175789611,-0.177681177237364,-2.79320800944248,0.247676737838061,-2.79320800944248,0.247676737838061,100,0.75,0.519761267675784,0.682121367682206,0.707106665192347,0.999999784739144,0.577350193548188,0.763762531777383,0.577350193548188,0.763762531777383
"22",22,-2.49620609999267,-0.480273370293762,-2.14006616349627,-0.287682072451776,-2.48490664978799,-0.0800427076735333,-2.32238772029022,-0.470820289152264,100,0.75,0.41265165674485,0.715826487910146,0.499999977974326,0.763762571652661,0.499999962768707,0.707106724885497,0.447213569455311,0.730296667591391
