"","rep","our_beta0","our_beta1","our_beta2","cc_beta0","cc_beta1","cc_beta2","naive_beta0","naive_beta1","naive_beta2","gs_beta0","gs_beta1","gs_beta2","n","q","our_beta0_se","our_beta1_se","our_beta2_se","cc_beta0_se","cc_beta1_se","cc_beta2_se","naive_beta0_se","naive_beta1_se","naive_beta2_se","gs_beta0_se","gs_beta1_se","gs_beta2_se"
"1886",1886,-2.98009106780768,1.57403355200141,-0.571848981690631,-2.94265825369475,1.51492162146342,-0.714176071036655,-2.91553702617077,1.47612762031501,-0.613040197710566,-2.95432716205864,1.53699783963246,-0.632825860595475,100,0.75,0.665353896851818,0.75346521397218,0.333254149117211,0.733719974381286,0.822338423286006,0.3913579495359,0.687189790632809,0.773633264311087,0.353272855655335,0.689081008545175,0.775909401030977,0.356580837186848
"1887",1887,-1.48724570499218,-0.308239698647699,0.370288541598735,-1.7082877691589,-0.0281966044901693,0.633848801524717,-1.51505826467117,-0.264974002395407,0.472350507388885,-1.5322859823753,-0.24491885924279,0.473588541933524,100,0.75,0.409907997090745,0.562454239159369,0.213658650711832,0.580295467301434,0.709949816905163,0.262975052176522,0.45077278852309,0.573849910431947,0.221571333599194,0.454489034477421,0.592953301759179,0.230148548056609
"1888",1888,-2.63414376066015,0.595481356464687,0.369258173945296,-2.30858081139406,0.653861653540554,-0.293237119300457,-2.28077882327937,0.297415904018241,0.229052993144047,-2.52284086138133,0.675857045373296,0.156827822656301,100,0.75,0.603868472796703,0.765876823264487,0.298328200692805,0.649448566799952,0.790450890192287,0.426089204458925,0.623059057190344,0.783467215880017,0.335608299626943,0.601021992622988,0.737451297970463,0.32158763571766
"1889",1889,-2.23944350718615,0.365126812940868,0.47484750493122,-1.95417393223921,0.0758089618637696,0.520751837421175,-2.38943677709478,0.57918533174146,0.432639391988657,-2.24111955154003,0.423331292414542,0.453625647275859,100,0.75,0.58976621986132,0.72012719464548,0.259750485229918,0.586163648359941,0.737021783054264,0.319841106523068,0.736708768360144,0.855233234095884,0.293943696856015,0.592403978159513,0.723232496060899,0.287657660035045
"1890",1890,-2.14266370085355,-0.0926676854151135,0.359236650661033,-2.05870048400284,0.106817823173811,0.0880682603296748,-1.95292771133208,-0.286132844706981,0.319736948550061,-2.0639700138864,-0.0979971845246601,0.265640324535078,100,0.75,0.436311378586537,0.649792654439326,0.362300377411995,0.549101318463341,0.781680021104271,0.406537379274835,0.480233302873916,0.687142986054467,0.376620117279904,0.474426702046903,0.672161089251446,0.37015389476714
"1891",1891,-2.2649294739335,0.286164157771204,-0.245894546415948,-2.70813679886293,0.607657266243136,0.0882319002691413,-2.48520885052452,0.519610645612501,-0.185071248461859,-2.49781572845462,0.544303691262119,-0.183021497171521,100,0.75,0.540512294829088,0.643997689508828,0.300963623874093,0.777835046991764,0.94914741498853,0.460285154141307,0.592723678377955,0.709080224640136,0.3462787895685,0.583536426367832,0.696745719017844,0.343267557871139
"1892",1892,-2.38235122129851,0.892674899448951,-0.0796133023673037,-2.05517316160494,-0.0448865340383601,0.0425124729344964,-2.21773901203684,0.503583230020863,-0.0285933233788714,-2.35016516481063,0.695473345133228,-0.0720176022100264,100,0.75,0.615491912812604,0.726487884680175,0.280757483622644,0.615636490916005,0.815663183738823,0.384965925163348,0.620461845044568,0.729282309004915,0.313298068277367,0.616543620573217,0.723236922017875,0.316121617547616
"1893",1893,-1.32259899686702,-0.902565454190578,0.515602670931027,-1.81731319223829,-0.379053131510352,0.192176107257266,-1.3789656675001,-0.896610866240647,0.461455333580654,-1.45612582096574,-0.770775510359133,0.427965652761037,100,0.75,0.326710273154021,0.523433371803473,0.259918320212735,0.524207733737657,0.745645933910613,0.376815773057648,0.386864548290629,0.594963884089399,0.303801781795936,0.385806422455791,0.589097372976493,0.300057738797683
"1894",1894,-3.11435056181141,0.360589363486594,1.09524043717666,-3.5329292158381,1.10132458052091,-0.308107865382045,-3.10949856671489,0.541603032917663,0.677053816440843,-3.24205276967004,0.739632797930643,0.618340616224275,100,0.75,1.03434629517236,1.26274426611692,0.488977958165729,1.12906013145741,1.28082013207941,0.615964003276428,1.04535273805065,1.26434999157997,0.57448990213004,1.04077417771155,1.25362055634088,0.571133491416386
"1895",1895,-20.7990965868416,18.9051965028192,-0.24189852451464,-20.5608889661393,19.1434038472846,-0.376333920521649,-20.4984588157096,18.6682033647301,-0.246854670763557,-20.4591847877536,18.6857196432149,-0.237202206555754,100,0.75,4843.16510913016,4843.16512963469,0.336074389390033,2764.30959857699,2764.30962671272,0.376649183267999,2732.61520832285,2732.61523745336,0.343073695686177,2575.33075160477,2575.3307810446,0.339899041135755
"1896",1896,-2.54877673617932,0.813923094029292,0.00977322174778515,-2.1577115912225,0.226508611892181,0.429902248924731,-2.43272357738756,0.68305328979168,0.155085668555043,-2.39417948117074,0.614296407637284,0.171171182600335,100,0.75,0.55635199103325,0.729925903573614,0.333367121970938,0.642230909415536,0.901959820618197,0.407608928987999,0.576457361588918,0.767388962735876,0.349893421110411,0.585575432187833,0.784677514864698,0.358034262715282
"1897",1897,-2.4693797567286,0.421597368680715,0.139883282937054,-3.04946558207347,0.597452408052725,0.567768801436724,-2.70832995791713,0.594223873026356,0.209174106039839,-2.24610770647276,-0.087753525929956,0.363687643439276,100,0.75,0.653090695175924,0.806864231369514,0.306135727135686,1.00753141466016,1.204745955351,0.539627120752833,0.734775424782202,0.898464047297825,0.374631044932945,0.593755300760644,0.790131540619844,0.36329369287567
"1898",1898,-2.21752240262365,0.14468718743391,0.172225702515739,-2.39104046564752,0.581143970831785,0.245327005857761,-2.87222559781846,1.09479553862453,0.0783509685325881,-2.25723508238671,0.288298643211334,0.220457181905394,100,0.75,0.475478090706804,0.633479607317742,0.301262306569162,0.585648281453697,0.734148347556296,0.312807890377755,0.728700259769953,0.830826413339709,0.314039899344541,0.512801591548502,0.668637540074383,0.308748670335884
"1899",1899,-2.46927767859604,-0.111071976462354,0.988112825015829,-3.72932030945718,1.52466324349202,-0.598211532869603,-2.53273718634677,-0.00781055590380695,0.680032612429692,-2.54602298547536,0.0127551786294573,0.673251820766449,100,0.75,0.716373466043088,1.02880893998976,0.494665271642814,1.19587848688437,1.39241257971428,0.774717570228569,0.763548924414539,1.03902752271032,0.566521750047685,0.744812213784964,0.98795036071148,0.539163077441586
"1900",1900,-2.25526496693307,0.170898268293772,-0.0715154317283567,-1.93495211676695,-0.217525739359459,0.129772205294045,-2.35197449251667,0.369085124759783,-0.0924140185583158,-1.94804890121771,-0.336663750518561,0.106232569687584,100,0.75,0.485467018468994,0.711145116738744,0.319093102764653,0.545137108740925,0.808504586523124,0.386326138177859,0.57896563791538,0.767961462178558,0.348792562111675,0.454988861398085,0.722857530040973,0.339633923624809
"1901",1901,-2.12582989144486,0.385025510408181,0.0726730487294839,-3.40963785071526,1.46032654291247,-0.621547634826283,-2.27566487248253,0.354161261555118,-0.0654574736104554,-2.4345862949866,0.615333130606449,-0.125144169586566,100,0.75,0.488155837623208,0.679399771998306,0.30520577645679,0.86420144251901,0.94987391594113,0.432725932714599,0.576486720817645,0.729586620669846,0.35812364020848,0.55801972272051,0.699058879423286,0.346844382197103
"1902",1902,-3.69643441939501,0.728662717705286,0.232391327871343,-3.30725037378205,0.650223784837125,0.258580092121733,-3.4151693651898,0.541414114954094,0.245363522943125,-3.50471648904108,0.672765346214533,0.242432214660545,100,0.75,1.0247570372539,1.20764994150068,0.506790292449682,1.01677483479971,1.19160020461726,0.521539454901321,1.0501302787232,1.26154293955932,0.525427068939877,1.02442380059344,1.20811409670823,0.514421024015272
"1903",1903,-1.78072220268701,-0.619734571519586,-0.0663092757417729,-1.60018942874537,-1.26901576886494,0.127656134545928,-2.17679246287885,-0.0498701212411941,-0.222336204275014,-1.78939755778874,-0.663844783476421,-0.0433143627403221,100,0.75,0.54171950654001,0.837160275998771,0.377366238064977,0.529211911549673,0.882517781707407,0.445816926329326,0.63442128444073,0.823702555522148,0.41447622111756,0.530715152893186,0.747305394602434,0.385515172509568
"1904",1904,-2.29082384385345,0.60362083356718,-0.16462718074259,-2.44582244965498,0.608061335831379,-0.490235274592818,-2.22024486936222,0.453113001002175,-0.220165674510095,-2.3913201464992,0.721345817265764,-0.303079323160158,100,0.75,0.524411776353039,0.646761503955827,0.283403667912033,0.635154238206982,0.758316591076447,0.384970240238132,0.52595686502185,0.637470408372166,0.296411136347308,0.543614733340121,0.660065493258,0.316836631107157
"1905",1905,-2.77799985904817,0.438419123438257,0.712845429622491,-2.14662205955649,0.220948542457974,0.616617223508331,-2.27854049599833,-0.0466116741693661,0.765515373701357,-2.42870849013343,0.205857628220002,0.709783324355295,100,0.75,0.588018118249695,0.788862149912128,0.328055891968718,0.585451639828968,0.783427576369548,0.324324380876542,0.590512857634282,0.805175517278698,0.32907538577449,0.584272150061776,0.776856063067968,0.321099880321706
"1906",1906,-1.85235326877813,-0.370172343708135,0.557204764608873,-1.37405281409156,-0.659885980811229,0.486286543413936,-2.0701059886128,0.17118078933443,0.374009437170014,-1.41669773544552,-0.928655986920886,0.639388578075716,100,0.75,0.473983952174415,0.686348948478481,0.27132181703947,0.486824338590904,0.721491859107371,0.299185135645454,0.614610823928176,0.754430340674124,0.272094966460336,0.439021639009341,0.693370275430958,0.291328471733349
"1907",1907,-2.25891241264965,0.330583139214282,-0.00568840238977483,-1.97766073266795,0.210029274101346,-0.0854783892807763,-2.13588123425624,0.248774981326163,-0.035486108037395,-2.09727370534368,0.214315192454711,-0.0293449977996611,100,0.75,0.485921919096997,0.660250946864913,0.328595277424307,0.513894161464834,0.709800450716767,0.341620407855398,0.554885585312502,0.700540084073541,0.327663228562789,0.491237900660271,0.663252599627402,0.328675034634361
